ID,Fonctionnalité,Description,Priorité,Estimation (h),Sprint,Statut
F-001,Authentification & Login,Hachage SHA-256 + formulaires login + gestion sessions,Haute,12,Sprint 2,En cours
F-002,Forum public,Créer/lire/modifier/supprimer messages + pagination,Haute,12,Sprint 3,Planifié
F-003,Messages privés,Conversations 1-à-1 + notifications,Haute,10,Sprint 4,Planifié
F-004,Détection en ligne,Pings automatiques + afficher utilisateurs actifs,Haute,8,Sprint 4,Planifié
F-005,Recherche de messages,Recherche full-text forum + privés,Moyenne,6,Sprint 4,Planifié
F-006,Logging & Audit,Enregistrement de toutes les actions,Moyenne,8,Sprint 5,Planifié
F-007,Optimisations BD,Indexes + queries + performance,Moyenne,6,Sprint 5,Planifié
F-008,Tests complets,Unitaires + intégration + sécurité,Haute,10,Sprint 5,Planifié
F-009,Documentation,API + architecture + guide utilisateur,Basse,6,Sprint 5,Planifié
F-010,Changement mot de passe,Permettre utilisateurs de changer password,Basse,3,Sprint 3+,Backlog
